ID,p,log2FC,pct.1,pct.2,Pvalue
Rbpms,0.003546821,-0.326079177,0.228,0.345,1
Cd68,0.003607193,-0.307535212,0.735,0.784,1
Tubb4b,0.003994546,-0.261694545,0.367,0.489,1
Selenow,0.004021798,-0.274950486,0.673,0.763,1
Kpna1,0.004063112,0.263223129,0.327,0.209,1
Ifi207,0.004152843,0.27655346,0.82,0.691,1
Pirb,0.004161107,-0.297870912,0.48,0.576,1
Nadk,0.004316261,-0.27433527,0.241,0.353,1
Slfn2,0.004320396,-0.35656696,0.82,0.856,1
Pmaip1,0.004407734,0.310183433,0.405,0.266,1
Anxa4,0.004543066,0.25037625,0.429,0.309,1
Vcan,0.004566701,0.335476771,0.197,0.094,1
Irf2,0.004587615,0.281838807,0.565,0.468,1
Ano6,0.004714261,-0.265155843,0.31,0.453,1
Jarid2,0.004716651,0.321072493,0.803,0.669,1
Chil3,0.004726694,0.441689763,0.224,0.115,1
Ubash3b,0.004740703,0.290027585,0.575,0.424,1
Spp1,0.004790225,0.3323762,0.255,0.137,1
Spag9,0.004822055,0.318423186,0.823,0.669,1
Cdkn1a,0.00492568,0.259230746,0.701,0.568,1
Ptpn18,0.004926337,-0.331306461,0.626,0.734,1
Ifi209,0.00519308,0.26661942,0.333,0.209,1
Ccl12,0.005351019,0.531031288,0.187,0.086,1
Mdm2,0.005620533,0.332131856,0.558,0.396,1
Csf2rb,0.005889657,0.302716397,0.422,0.288,1
Cmip,0.005911277,0.295591962,0.844,0.748,1
Chd7,0.006021629,0.251198215,0.507,0.381,1
Ifi203,0.006548306,0.282237507,0.422,0.288,1
Btbd1,0.006707233,0.297170461,0.388,0.281,1
Apba1,0.006712745,0.268101006,0.289,0.173,1
Hdac9,0.007010879,0.400263309,0.224,0.122,1
Gm17268,0.007099022,0.402643357,0.299,0.187,1
Junb,0.007254332,0.299994489,0.898,0.842,1
B4galt5,0.00740296,0.250921333,0.463,0.331,1
Ero1lb,0.007516942,0.272905683,0.245,0.137,1
Samhd1,0.007754588,0.435666942,0.571,0.496,1
Fos,0.007939551,0.29754889,0.946,0.878,1
Eif4a1,0.008149227,0.250010872,0.81,0.77,1
Slc23a2,0.008427562,0.257138367,0.354,0.237,1
Pip4k2a,0.008645949,0.267645923,0.5,0.381,1
Gm47283,0.00866101,0.252252011,0.214,0.115,1
Atp1b3,0.009322261,0.264404214,0.612,0.54,1
Ctsa,0.009828512,-0.254982199,0.585,0.662,1
Tgfbi,0.009865236,0.332099934,0.748,0.705,1
Pabpc1,0.010072422,0.260433042,0.738,0.619,1
Emilin2,0.010386187,0.270917521,0.517,0.417,1
Ythdc1,0.011028762,0.307464615,0.524,0.432,1
Morrbid,0.011342758,0.333489992,0.469,0.36,1
Anxa1,0.011623695,0.405741365,0.378,0.266,1
Rgs2,0.011640438,0.420377177,0.697,0.612,1
