ID,p,log2FC,pct.1,pct.2,Pvalue
Cd14,0.001511951,-0.359975905,0.476,0.619,1
Hif1a,0.0016032,0.297780351,0.534,0.403,1
Slc28a2,0.001655188,0.388996869,0.241,0.115,1
Txn1,0.00165959,-0.253080188,0.765,0.842,1
Gm20513,0.001688822,0.270124008,0.255,0.129,1
Plac8,0.001713999,0.67259633,0.619,0.547,1
Fam107b,0.001765765,0.488964472,0.412,0.288,1
Grcc10,0.001768265,-0.29413491,0.463,0.583,1
Ubl3,0.001832162,0.295832079,0.561,0.41,1
Cd53,0.001911613,0.300217337,0.69,0.612,1
Ptgds,0.002017646,-0.27337635,0.616,0.719,1
Fndc3a,0.002066856,0.318502549,0.517,0.381,1
Etv3,0.002164307,0.290866966,0.337,0.201,1
Por,0.002326686,-0.263595329,0.269,0.403,1
Cd44,0.002344885,0.309046999,0.884,0.82,1
Ddt,0.002371087,-0.358466727,0.201,0.317,1
Grn,0.002406523,-0.405651477,0.779,0.82,1
Aff1,0.002479615,0.377782893,0.612,0.496,1
Aldoa,0.002636303,-0.259206577,0.986,0.978,1
Kdm7a,0.002649038,0.287846916,0.459,0.309,1
Dock10,0.002752911,0.273423985,0.741,0.604,1
H3f3b,0.002760123,0.335554086,1,0.993,1
Irf7,0.002778511,-0.330855569,0.333,0.453,1
Acap2,0.002814183,0.264326698,0.452,0.302,1
Metrnl,0.002822095,0.321538931,0.558,0.424,1
Rps4x,0.002863174,0.258004004,0.993,0.993,1
Gab2,0.002972406,0.330765869,0.69,0.583,1
Rab43,0.003002493,0.424504036,0.49,0.374,1
Abracl,0.003019859,-0.335591747,0.643,0.669,1
Gm26917,0.003136617,0.401382821,0.537,0.403,1
Ybx3,0.003387522,0.264404214,0.391,0.252,1
Hipk2,0.003475066,0.281008001,0.415,0.273,1
