"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pnrc12",5.1895123339601e-32,0.410311287198857,0.997,0.901,1.1475568624086e-27,"6","Pnrc1"
"Sntb11",5.3261317006536e-32,0.584696916039935,0.867,0.602,1.17776750296553e-27,"6","Sntb1"
"Atp11b1",6.84056183770478e-32,0.647791286334299,0.992,0.794,1.51265343917166e-27,"6","Atp11b"
"Pik3cd",7.94977500241132e-32,0.89168124036564,0.293,0.159,1.75793374628322e-27,"6","Pik3cd"
"Nup2101",8.05804841620093e-32,0.432793041846105,0.893,0.627,1.78187624627451e-27,"6","Nup210"
"Slfn22",9.69674042630291e-32,0.27269554623318,0.478,0.256,2.14424021046836e-27,"6","Slfn2"
"Ostf13",1.21647234566947e-31,0.493573190292308,0.994,0.765,2.6899852979789e-27,"6","Ostf1"
"Ern11",1.96643733763701e-31,0.56096432099102,0.976,0.679,4.34838288471673e-27,"6","Ern1"
"Slc9a91",2.0079155134148e-31,1.17248350711336,0.412,0.294,4.44010357481415e-27,"6","Slc9a9"
"Rin31",3.19020762515045e-31,0.39587303200795,0.864,0.6,7.0545061214952e-27,"6","Rin3"
"Rpl181",5.83492662686323e-31,0.330790263353798,1,1,1.29027732499827e-26,"6","Rpl18"
"Rbm39",6.43288427561693e-31,0.350131835114267,1,1,1.42250369986717e-26,"6","Rbm39"
"Ss18",6.55760757852784e-31,0.474624882943298,0.93,0.688,1.45008376383986e-26,"6","Ss18"
"Gramd1a",6.65140573222299e-31,0.458256238904628,0.89,0.65,1.47082534956647e-26,"6","Gramd1a"
"Clint11",1.01159597453399e-30,0.574824002397613,0.995,0.916,2.23694217848702e-26,"6","Clint1"
"Macf11",1.51269444158908e-30,0.497495361705223,1,0.945,3.34502121868593e-26,"6","Macf1"
"Skil3",1.6532812038274e-30,0.352459157800249,0.904,0.62,3.65590072602353e-26,"6","Skil"
"Stim1",1.8519599738959e-30,0.519188727612308,0.948,0.706,4.095239090276e-26,"6","Stim1"
"Creb1",2.17876298144714e-30,0.553421509317656,0.966,0.731,4.81789858087406e-26,"6","Creb1"
"Bin12",2.23833645070647e-30,0.338120760129891,0.902,0.632,4.94963339344722e-26,"6","Bin1"
"Man1a2",2.74749859359653e-30,0.605156155491304,0.522,0.36,6.07554364002e-26,"6","Man1a"
"Pik3r11",5.49330952314189e-30,0.436710438976094,0.934,0.665,1.21473553485237e-25,"6","Pik3r1"
"Znrf2",6.14028544562508e-30,0.463089133384057,0.919,0.658,1.35780132059107e-25,"6","Znrf2"
"Rps11",1.11146809065296e-29,0.286357284291966,1,1,2.4577893888609e-25,"6","Rps11"
"Rps201",1.16960919621358e-29,0.44157800122788,1,1,2.58635681558708e-25,"6","Rps20"
"Atxn7",1.17393925833422e-29,0.440129486939264,0.834,0.589,2.59593188195445e-25,"6","Atxn7"
"Rpl391",2.68283053885331e-29,0.311995387028476,1,1,5.93254317056633e-25,"6","Rpl39"
"Eed",3.28054697360351e-29,0.476487504030241,0.96,0.695,7.25427352272945e-25,"6","Eed"
"Zfp36l23",3.50182308769834e-29,0.904435019119985,0.499,0.369,7.74358139382734e-25,"6","Zfp36l2"
