"","C_p_val","C_avg_log2FC","C_pct.1","C_pct.2","C_p_val_adj","T_p_val","T_avg_log2FC","T_pct.1","T_pct.2","T_p_val_adj","max_pval","minimump_p_val"
"Ndufa5",0,-0.836276518773381,1,0.999,0,0,-0.706872815774283,1,1,0,0,0
"Wasl",0,-0.539420855197857,0.997,0.99,0,1.1375839470018e-182,-0.490465347213157,0.997,0.987,2.51553938200507e-178,1.1375839470018e-182,0
"Calu",0,-0.65988349589576,0.998,0.997,0,1.05753645381062e-233,-0.556661742819887,0.999,0.995,2.33853036031143e-229,1.05753645381062e-233,0
"Atp6v1f",0,-0.708296226341349,1,0.999,0,6.62558452917592e-227,-0.503090917999931,1,1,1.46511550693667e-222,6.62558452917592e-227,0
"Irf5",0,0.768889914022977,0.254,0.033,0,0,0.633446427095879,0.183,0.012,0,0,0
"1810058I24Rik",0,-0.602512798581312,1,0.999,0,2.84119607100638e-200,-0.48159426981904,1,1,6.2827368718164e-196,2.84119607100638e-200,0
"Fmc1",0,-0.612208709664985,0.993,0.978,0,4.30096832576755e-240,-0.562577178655557,0.998,0.989,9.51073125876978e-236,4.30096832576755e-240,0
"Tbxas1",0,2.36854380554706,0.587,0.057,0,0,1.87721693061505,0.434,0.034,0,0,0
"Ndufb2",0,-0.678067789205726,1,0.998,0,3.06949970682554e-299,-0.600374276156451,1,1,6.78758470170331e-295,3.06949970682554e-299,0
"Mrps33",0,-0.702315644199262,0.999,0.999,0,0,-0.596808226909938,1,1,0,0,0
"Tmem176b",0,-0.72490025370521,0.996,0.993,0,1.40657559842633e-225,-0.551176452184078,0.999,0.998,3.11036062080015e-221,1.40657559842633e-225,0
"Gpnmb",0,-0.913469375017615,1,0.999,0,7.18491669181107e-217,-0.587484549481543,1,1,1.58880062806018e-212,7.18491669181107e-217,0
"Cycs",0,-1.16910565564344,1,1,0,0,-0.947750639209962,1,1,0,0,0
"Cbx3",0,-0.735895937572232,1,0.998,0,4.27444746895798e-283,-0.655810403467617,0.999,0.998,9.45208568810677e-279,4.27444746895798e-283,0
"Scrn1",0,-0.644002435301248,0.985,0.954,0,2.53447041163234e-228,-0.57904539591072,0.995,0.972,5.6044744212426e-224,2.53447041163234e-228,0
"Gars",0,-0.668536166972545,0.998,0.99,0,1.4026655490774e-213,-0.59504200460159,0.999,0.991,3.10171432867486e-209,1.4026655490774e-213,0
"Fkbp9",0,-0.629367650040439,0.992,0.976,0,4.12254694796068e-201,-0.518918256526706,0.992,0.972,9.11618806602545e-197,4.12254694796068e-201,0
"Snca",0,-0.872124164844756,0.994,0.972,0,1.24844119785427e-191,-0.702741639652596,0.997,0.976,2.76067802081514e-187,1.24844119785427e-191,0
"Tnip3",0,1.34991375088073,0.264,0.021,0,0,1.37548072502937,0.301,0.01,0,0,0
"Serbp1",0,-1.15123501641679,1,1,0,0,-0.987087546960515,1,1,0,0,0
"Immt",0,-0.695078254359216,1,0.997,0,1.45169527557922e-274,-0.589234647780358,0.999,0.998,3.21013376288833e-270,1.45169527557922e-274,0
"Capg",0,1.29030368441548,1,0.959,0,0,1.20420966652568,0.999,0.958,0,0,0
"Suclg1",0,-0.712491574368898,0.998,0.995,0,1.3980863428118e-261,-0.584999136836287,0.999,0.998,3.09158832985973e-257,1.3980863428118e-261,0
"Pole4",0,-0.679255486785992,0.998,0.996,0,4.49723364261339e-302,-0.606528215713492,0.999,0.998,9.94473275391099e-298,4.49723364261339e-302,0
"Mrpl53",0,-0.733279284922031,0.997,0.995,0,2.60393285553415e-306,-0.618964262595635,0.999,0.997,5.75807672344265e-302,2.60393285553415e-306,0
"Bola3",0,-0.629669814452679,0.997,0.991,0,2.29715616379881e-224,-0.556356012053012,0.999,0.995,5.07970142500832e-220,2.29715616379881e-224,0
"Tex261",0,-0.661507761259136,0.999,0.995,0,6.92066459553911e-255,-0.547201914832141,0.999,0.997,1.53036656201156e-250,6.92066459553911e-255,0
"Cct7",0,-0.972961772387315,1,1,0,0,-0.811392270368377,1,1,0,0,0
"Snrpg",0,-0.621975070370324,1,1,0,3.20124130845242e-232,-0.554849092222998,1,1,7.07890490538084e-228,3.20124130845242e-232,0
"Arhgap25",0,0.927855496727538,0.297,0.048,0,5.48065193216546e-257,0.660115286159507,0.227,0.029,1.21193656175975e-252,5.48065193216546e-257,0
"Cnbp",0,-0.64347523628848,1,1,0,2.02378906246204e-222,-0.558514942842928,1,0.999,4.47520475382231e-218,2.02378906246204e-222,0
"Tmf1",0,-0.760774542246764,0.998,0.989,0,3.73410053753057e-162,-0.574420171116636,0.998,0.983,8.25721651864135e-158,3.73410053753057e-162,0
"Frmd4b",0,1.91081746120797,0.478,0.078,0,0,2.18106147059358,0.537,0.065,0,0,0
"Rpl32",0,-1.24031677779319,1,1,0,0,-1.10443060673376,1,1,0,0,0
"Rassf4",0,0.890771167273262,0.26,0.025,0,0,1.05760063290481,0.356,0.034,0,0,0
