SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA-06-0168-01A,0,0,0.000197048,0.023852188,0,0.098038444,0,0.011428428,0.00470239,0,0.036089273,0,0.220417693,0.101917615,0.034855482,0.447217295,0,0,0,0.004412266,0,0.016871877,SNV
TCGA-76-4932-01A,0,0.001252158,0,0,0,0.086960713,0,0,0.001107133,0,0,0.044978138,0.273668984,0,0.022020835,0.462760616,0,0,0.04143944,0,0.064522586,0.001289398,WT
TCGA-14-0790-01B,0.011090452,0,0,0.085548905,0,0.025382647,0,0.050442618,0,0.026713713,0.001036848,0.002315212,0.14839447,0,0.19367941,0.419697654,0,0,0.034534543,0,0,0.001163528,WT
TCGA-12-0619-01A,0.010737976,0.012787609,0,0.055915987,0,0.099546514,0.021651209,0.037365076,0.010869011,0,0.040735784,0,0.155997817,0,0.031038401,0.411142157,0,0,0.033708311,0,0,0.078504147,WT
TCGA-06-0686-01A,0,0.025503368,0.001588952,0.021787659,0,0.059185998,0,0.024558783,0.028212828,0,0.076846636,0,0,0.385904186,0.008944509,0.346635325,0,0,0.004583811,0,0.000787424,0.015460522,WT
TCGA-32-2615-01A,0,0,0.000706807,0.049213823,0,0.172899369,0,0.038700748,0.003223955,0,0.014174579,0.015196867,0.22601869,0.031757399,0.049993113,0.288387948,0,0.003264931,0,0.056448639,0.016541678,0.033471455,WT
TCGA-28-5218-01A,0.039795018,0,0.001936631,0.145757823,0,0,0.026863274,0.045143949,0.061106899,0,0.025186366,0,0,0.27970206,0.03034018,0.311283527,0,0,0,0.025456832,0,0.00742744,WT
TCGA-06-2564-01A,0.004683119,0.001543462,3.28E-05,0,0,0.223033962,0,0.008022541,0.007223177,0,0.068052561,0.033876902,0.166833379,0.157181087,0.003251684,0.182472244,0.000670804,0,0.108381531,0,0,0.034740781,WT
TCGA-27-1831-01A,0,0,0.001568665,0.052325313,0,0.106201702,0,0.019119684,0,0.039800349,0,0.027219956,0.170654498,0,0.041821483,0.472156437,0,0.001609796,0,0.019064781,0.044984234,0.003473102,WT
TCGA-27-1835-01A,0,0.020503575,0,0.03824166,0,0.071346426,0,0.04197364,0.06016706,0.002968552,0,0.050676646,0,0.177042919,0.024183454,0.418715041,0,0,0.08421424,0,0,0.009966787,WT
TCGA-32-1970-01A,0.003594264,0,0,0,0,0.146479241,0,0.040525451,0.019773543,0,0.067605027,0.022277329,0.084801513,0,0.048263137,0.295185825,0,0,0.15168595,0,0.079033055,0.040775664,WT
TCGA-06-0744-01A,0.02014374,0,0,0.057207079,0,0.071702565,0,0.052666415,0,0,0,0.019121244,0.192795585,0,0.042544533,0.494936145,0,0,0,0.020462177,0.025953237,0.00246728,WT
TCGA-12-3652-01A,0.035913022,0,0.005424818,0.093232149,0,0.117178214,0,0.058778602,0.002019835,0.026499634,0.006396565,0,0.038529141,0.026340891,0.042459191,0.539772268,0,0,0,0,0.007455669,0,WT
TCGA-32-2638-01A,0,0.002589257,0.001300227,0.033594488,0,0.09525124,0,0.001823983,0,0,0.029972155,0,0.243815749,0,0.075936465,0.512814035,0,0,0,0,0,0.002902401,WT
TCGA-14-1825-01A,0,0.030099222,0,0.016388568,0,0.077396954,0,0.01782994,0.002151851,0,0.035016347,0.038961679,0.121970549,0.173875813,0.032780612,0.330827204,0,0,0.099666631,0,0,0.023034629,WT
TCGA-14-0871-01A,0,8.80E-05,0,0.007215235,0,0.299985341,0,0.045487902,0,0,0,0.101103702,0.02672129,0.180230491,0.038668379,0.144460555,0,0,0.137341947,0,0,0.018697129,WT
TCGA-26-5139-01A,0,0.003515416,0,0,0,0.068152152,0,0,0.001009924,0,0.077371365,0,0.25295114,0.137936325,0.018400571,0.408600263,0,0,0,0.023031376,0,0.009031466,WT
TCGA-76-4929-01A,0,0.020104306,0,0.024706898,0,0.019656729,0,0.014292485,0.016818432,0,0.001423645,0.014317948,0.044852726,0.205538548,0.020672099,0.459726648,0,0,0.112801196,0,0.026228426,0.018859914,WT
TCGA-06-5859-01A,0.048494011,0,0.003391245,0.015611423,0,0.163008481,0,0.005444892,0,0.018252663,0,0.009235599,0.147490917,0,0.030999344,0.521687382,0,0,0,0.031273176,0.001454055,0.00365681,WT
TCGA-28-5215-01A,0.034285831,0,0.014860302,0.029696913,0,0.038891884,0,0.048649201,0,0,0,0.040895814,0.231064068,0.081597199,0.057237875,0.279904759,0,0,0,0.113077978,0.028203539,0.001634637,WT
TCGA-06-5415-01A,0.028953208,0,0.000712786,0.101551852,0,0.133367412,0,0.018198144,0,0.000935901,0.002615402,0,0.06901305,0.222410288,0.036417782,0.368015728,0,0,0,0.016074703,0,0.001733743,WT
TCGA-15-0742-01A,0.00329077,0.005996491,0.000927501,0,0,0.105920762,0.000684261,0.047846852,0.039305369,0,0.10979101,0.01288265,0.047436864,0.25185091,0.009682181,0.281277117,0,0,0,0.003596158,0,0.079511105,WT
TCGA-19-5960-01A,0,0.021509355,0.010790368,0.027488584,0,0.169863451,0,0.137549979,0,0,0.010152611,0.095827148,0.109365642,0,0.038891264,0.315771392,0.00562136,0,0,0.011082563,0.046086284,0,WT
TCGA-27-2528-01A,0.001634424,0.000985166,1.14E-05,0,0,0.059010222,0,0.043490003,0.017724777,0,0.064880375,0,0.0085538,0.475524786,0.013310565,0.273004032,0,0,0,0.041870436,0,0,WT
TCGA-19-2624-01A,0.008013296,0,0,0.024363309,0,0.051547631,0,0.133533786,0,0,0,0.063345932,0.076490487,0.049711283,0.08451935,0.317573164,0,0,0,0.154883582,0.036018181,0,WT
TCGA-41-5651-01A,0.026711673,0,0,0.092833278,0,0.02368755,0,0.035318155,0,0,0.014410129,0.004178988,0.052665182,0.372121306,0.072191969,0.275904495,0,0,0,0,0,0.029977275,WT
