SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA.B5.A0JY.01A.11R.A104.07,0.100331763,0,0.044819543,0.108602367,0,0.204215885,0.04351127,0.077138244,0.000942755,0,0.003413582,0.007128763,0,0.242430003,0.041903793,0.093592506,0.002419433,0,0.029550092,0,0,0,MUT
TCGA.B5.A3F9.01A.21R.A22K.07,0.062080705,0,0.010591887,0.183120572,0,0.0280849,0.032909682,0.057047794,0.046237843,0.004568061,0,0.074132748,0,0.164523723,0.020859817,0.127664329,0.015804357,0.003888631,0.076575131,0,0.088839081,0.003070739,MUT
TCGA.D1.A17N.01A.11R.A12I.07,0.042142619,0,0.044154953,0.32687926,0,0.113702037,0,0.006144316,0.093896933,0,0,0.118660795,0.019903053,0.126542098,0.020674961,0.02976979,0.025679967,0,0.031849219,0,0,0,MUT
TCGA.B5.A0K6.01A.11R.A040.07,0,0.008554931,0.019910451,0.056521645,0,0.156259391,0,0.054802481,0.128720081,0,0,0.164875386,0.003293787,0.186869238,0.021747069,0.097611177,0.041548219,0,0.059286143,0,0,0,MUT
TCGA.AP.A0LN.01A.11R.A040.07,0.122949911,0,0.028833868,0.2936229,0,0.016893283,0.024926053,0.095436038,0.082657388,0,0,0.049830873,0.033771215,0.071828307,0.00642933,0.096718021,0.019174065,0.001718716,0.054959723,0,0.000250309,0,MUT
TCGA.B5.A3FD.01A.11R.A19W.07,0.059997462,0,0.018418529,0.070643419,0,0.209424794,0,0.005959085,0.051178381,0,0,0.055427953,0.024683657,0.222867077,0.046964169,0.165533562,0.022179114,0,0.046722797,0,0,0,MUT
TCGA.EY.A1GV.01A.11R.A13S.07,0.043948174,0,0.024297351,0.052758846,0,0.05452874,0,0.023911479,0.005994144,0,0.051344314,0.199654816,0,0.244359811,0,0.05310415,0,0.115195137,0.026928032,0,0,0.103975006,no alteration
TCGA.D1.A16J.01A.11R.A12I.07,0.106407886,0,0.151705439,0.241916287,0,0.016730228,0,0.027218225,0.11744472,0,0,0.031601044,0,0.181888547,0.07589183,0.007362317,0.024757249,0,0.017076229,0,0,0,HOMDEL 
TCGA.BK.A0C9.01A.11R.A00V.07,0.076938132,0,0.044127938,0.225728402,0,0.099991633,0,0.084230232,0.08864162,0,0,0.070288938,0.014711125,0.164789206,0.073563962,0.049888573,0.000211654,0,0.006747225,0,0,0.000141361,MUT
TCGA.EY.A1GP.01A.11R.A13S.07,0.059298238,0,0.054398272,0.1611188,0,0.059803364,0.011778214,0.147660922,0.016080576,0.023685498,0.038980729,0.017149288,0,0.105408517,0.044512437,0.092873869,0,0.064098733,0.103152543,0,0,0,no alteration
